Rank,Marka,Ürün Adı,Fiyat,Link
413,-,Teremyağ Paket Margarin 250 G,"44,90 TL",https://www.carrefoursa.com/teremyag-paket-margarin-250-g-p-30096718?has-promotion
414,-,Banvit Piliç Baget Kg,"140,80 TL",https://www.carrefoursa.com/banvit-pilic-baget-kg-p-30098642?has-promotion
415,-,Deveci Armut kg,"109,90 TL",https://www.carrefoursa.com/deveci-armut-kg-p-30018842?has-promotion
416,-,Dolma Biber Kg,"99,90 TL",https://www.carrefoursa.com/dolma-biber-kg-p-30013316?has-promotion
417,-,Banvit Poşetli Bütün Piliç Kg,"119,90 TL",https://www.carrefoursa.com/banvit-posetli-butun-pilic-kg-p-30089743?has-promotion
418,-,Uno Büyük Tost Ekmeği 550 g,"69,90 TL",https://www.carrefoursa.com/uno-buyuk-tost-ekmegi-550-g-p-30298076
419,-,Uno Premium Çok Tahıllı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cok-tahilli-ekmek-400-g-p-30481968
420,-,Uno Premium Çavdarlı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cavdarli-ekmek-400-g-p-30481969
421,-,Uno Süper Tost Çavdarlı 500 gr,"90,00 TL",https://www.carrefoursa.com/uno-super-tost-cavdarli-500-gr-p-30502137
422,-,"Coca-Cola 1,5 L Pet","63,00 TL",https://www.carrefoursa.com/coca-cola-1-5-l-pet-p-30092312
423,-,Enjoy Kedi Maması 1 Kg,"97,93 TL",https://www.carrefoursa.com/enjoy-kedi-mamasi-1-kg-p-30042232
424,-,Sek Süt 1 Litre,"69,95 TL",https://www.carrefoursa.com/sek-sut-1-litre-p-30099473
425,-,Çaykur Tiryaki Çayı 1000 Gr,"295,95 TL",https://www.carrefoursa.com/caykur-tiryaki-cayi-1000-gr-p-30097422
426,-,Carrefour Tam Yağlı Ayran 1500 Ml,"47,90 TL",https://www.carrefoursa.com/carrefour-tam-yagli-ayran-1500-ml-p-30369754
427,-,Ceviz kg,"229,90 TL",https://www.carrefoursa.com/ceviz-kg-p-30026755
428,-,İçim Yarım Yağlı Süt 1 Litre,"52,50 TL",https://www.carrefoursa.com/icim-yarim-yagli-sut-1-litre-p-30041046
429,-,"Carrefour Discount Su 0,33 Lt","4,25 TL",https://www.carrefoursa.com/carrefour-discount-su-0-33-lt-p-30267237
430,-,Billur İyotlu Sofra Tuzu 750 G,"34,90 TL",https://www.carrefoursa.com/billur-iyotlu-sofra-tuzu-750-g-p-30094288
431,-,Pastavilla Burgu Makarna 500g,"29,95 TL",https://www.carrefoursa.com/pastavilla-burgu-makarna-500g-p-30098469
432,-,Eti Gong 64 g,"19,45 TL",https://www.carrefoursa.com/eti-gong-64-g-p-30121172
433,-,Mila Su 5 Lt,"39,90 TL",https://www.carrefoursa.com/mila-su-5-lt-p-30388515
434,-,Dana Kıyma (%5-%7 Yağ) Kg,"943,90 TL",https://www.carrefoursa.com/dana-kiyma-5-7-yag-kg-p-30054472
435,-,Dana But Biftek Kg,"899,90 TL",https://www.carrefoursa.com/dana-but-biftek-kg-p-30054514
436,-,Carrefour İyotlu Sofra Tuzu 750 G,"7,90 TL",https://www.carrefoursa.com/carrefour-iyotlu-sofra-tuzu-750-g-p-30284498
437,-,Carrefour Türk Kahvesi 100 Gr,"54,90 TL",https://www.carrefoursa.com/carrefour-turk-kahvesi-100-gr-p-30207270
438,-,Tat Tatlı Biber Salçası 550 G,"79,90 TL",https://www.carrefoursa.com/tat-tatli-biber-salcasi-550-g-p-30049942
439,-,Coca-Cola Zero Sugar 4X1 L Pet,"208,00 TL",https://www.carrefoursa.com/coca-cola-zero-sugar-4x1-l-pet-p-30013866
440,-,Selpak Havlu Dev Rulo Tekli,"46,87 TL",https://www.carrefoursa.com/selpak-havlu-dev-rulo-tekli-p-30383165
441,-,İçim Şef %18 Yağlı Krema 200 Ml,"49,95 TL",https://www.carrefoursa.com/icim-sef-18-yagli-krema-200-ml-p-30269365
442,-,"Coca-Cola Zero Sugar  1,5 L Pet","63,00 TL",https://www.carrefoursa.com/coca-cola-zero-sugar-1-5-l-pet-p-30013803
443,-,Carrefour Çift Kat Kağıt Havlu 12'li,"134,90 TL",https://www.carrefoursa.com/carrefour-cift-kat-kagit-havlu-12-li-p-30389579
444,-,Kasap Köfte Kg,"769,90 TL",https://www.carrefoursa.com/kasap-kofte-kg-p-30054571
445,-,Ananas Adet,"99,95 TL",https://www.carrefoursa.com/ananas-adet-p-30009119
446,-,Crax Sade 40 g,"6,00 TL",https://www.carrefoursa.com/crax-sade-40-g-p-30098974
447,-,Coca-Cola Zero Sugar 250 ml Kutu,"44,00 TL",https://www.carrefoursa.com/coca-cola-zero-sugar-250-ml-kutu-p-30022134
448,-,İhe Tam Buğday Ekmek,"50,00 TL",https://www.carrefoursa.com/ihe-tam-bugday-ekmek-p-30053367
449,-,Domestos Yoğun Kıvamlı Çamaşır Suyu Dağ Esintisi 750 ml,"74,90 TL",https://www.carrefoursa.com/domestos-yogun-kivamli-camasir-suyu-dag-esintisi-750-ml-p-30026681
450,-,Eti Topkek Meyveli 40 Gr,"12,25 TL",https://www.carrefoursa.com/eti-topkek-meyveli-40-gr-p-30042119
451,-,Akmina Maden Suyu 1 Litre Pet,"35,50 TL",https://www.carrefoursa.com/akmina-maden-suyu-1-litre-pet-p-30040996
452,-,Uno Büyük Tost Ekmeği 550 g,"69,90 TL",https://www.carrefoursa.com/uno-buyuk-tost-ekmegi-550-g-p-30298076
453,-,Uno Premium Çok Tahıllı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cok-tahilli-ekmek-400-g-p-30481968
454,-,Uno Premium Çavdarlı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cavdarli-ekmek-400-g-p-30481969
455,-,Uno Süper Tost Çavdarlı 500 gr,"90,00 TL",https://www.carrefoursa.com/uno-super-tost-cavdarli-500-gr-p-30502137
456,-,Dr. Oetker Karbonat 5x5 Gr,"9,50 TL",https://www.carrefoursa.com/dr-oetker-karbonat-5x5-gr-p-30048986
457,-,"Pepsi Kola Pet 2,5 L","85,00 TL",https://www.carrefoursa.com/pepsi-kola-pet-2-5-l-p-30095637
458,-,Papatya Ekmek 500 g,"49,90 TL",https://www.carrefoursa.com/papatya-ekmek-500-g-p-20000119
459,-,Carrefour Küp Şeker 1000 Gr,"52,90 TL",https://www.carrefoursa.com/carrefour-kup-seker-1000-gr-p-30127388
460,-,İhe Organik Ekmek,"55,00 TL",https://www.carrefoursa.com/ihe-organik-ekmek-p-30088045
461,-,Carrefour Gezen Tavuk Yumurtası 15'li M Boy,"187,50 TL",https://www.carrefoursa.com/carrefour-gezen-tavuk-yumurtasi-15-li-m-boy-p-30282437
462,-,Eti Puf Kırmızı Meyve Dolgulu 20 Gr,"7,15 TL",https://www.carrefoursa.com/eti-puf-kirmizi-meyve-dolgulu-20-gr-p-30147480
463,-,Carrefour Ayçiçek Yağı 2 Lt,"199,90 TL",https://www.carrefoursa.com/carrefour-aycicek-yagi-2-lt-p-30078251
464,-,"Nescafe 3'ü 1 Arada Sütlü & Köpüklü 10 X 17,4 G","79,90 TL",https://www.carrefoursa.com/nescafe-3-u-1-arada-sutlu-kopuklu-10-x-17-4-g-p-30115350
465,-,Carrefour Toz Şeker 1000 Gr,"46,50 TL",https://www.carrefoursa.com/carrefour-toz-seker-1000-gr-p-30127386
466,-,Raya Organik Yumurta 8'li No:0,"125,90 TL",https://www.carrefoursa.com/raya-organik-yumurta-8-li-no-0-p-30115382
467,-,"Carrefour Yarım Yağlı Yoğurt 2,5 Kg","99,50 TL",https://www.carrefoursa.com/carrefour-yarim-yagli-yogurt-2-5-kg-p-30354460
468,-,Pınar Süt 1 Litre,"68,90 TL",https://www.carrefoursa.com/pinar-sut-1-litre-p-30008788
469,-,Asperox Sarı Güç 1 lt,"89,95 TL",https://www.carrefoursa.com/asperox-sari-guc-1-lt-p-30285107
470,-,Carrefour Beyaz Sirke 1 Litre,"16,90 TL",https://www.carrefoursa.com/carrefour-beyaz-sirke-1-litre-p-30304271
471,-,"Pepsi Kola Pet 1,5 L","70,00 TL",https://www.carrefoursa.com/pepsi-kola-pet-1-5-l-p-30015480
472,-,Carrefour Labne Peynir 300 Gr,"67,90 TL",https://www.carrefoursa.com/carrefour-labne-peynir-300-gr-p-30283763
473,-,Çerezza TV Süt Mısır Çerezi Süper Boy 117 g,"34,65 TL",https://www.carrefoursa.com/cerezza-tv-sut-misir-cerezi-super-boy-117-g-p-30009778
474,-,Banvit Kalçalı But Kg,"137,15 TL",https://www.carrefoursa.com/banvit-kalcali-but-kg-p-30082753
475,-,Levrek 400-600 g,"479,00 TL",https://www.carrefoursa.com/levrek-400-600-g-p-30171652
476,-,Nestle Toz Salep 17 Gr,"12,00 TL",https://www.carrefoursa.com/nestle-toz-salep-17-gr-p-30000264
477,-,"Nestle Sıcak Çikolata 18,5 Gr","12,00 TL",https://www.carrefoursa.com/nestle-sicak-cikolata-18-5-gr-p-30004740
478,-,Carrefour Yeşil 5'li Oluklu Bulaşık Süngeri,"23,90 TL",https://www.carrefoursa.com/carrefour-yesil-5-li-oluklu-bulasik-sungeri-p-30389385
479,-,Fairy 1500 ml Sıvı Bulaşık Deterjanı Limon,"149,90 TL",https://www.carrefoursa.com/fairy-1500-ml-sivi-bulasik-deterjani-limon-p-30278597
480,-,Pınar Denge Laktozsuz Süt 1 Litre,"69,90 TL",https://www.carrefoursa.com/pinar-denge-laktozsuz-sut-1-litre-p-30079280
481,-,Kuzu Gerdan Kg,"659,90 TL",https://www.carrefoursa.com/kuzu-gerdan-kg-p-30055428
482,-,Carrefour Islak Havlu 100'lü,"45,00 TL",https://www.carrefoursa.com/carrefour-islak-havlu-100-lu-p-30258362
483,-,Gold Copy A4 80 Gr Fotokopi Kağıdı Paket,"129,99 TL",https://www.carrefoursa.com/gold-copy-a4-80-gr-fotokopi-kagidi-paket-p-30202934
484,-,Filiz Burgu Makarna 500 g,"30,95 TL",https://www.carrefoursa.com/filiz-burgu-makarna-500-g-p-30097165
485,-,Filiz Fiyonk Makarna 500 g,"30,95 TL",https://www.carrefoursa.com/filiz-fiyonk-makarna-500-g-p-30097182
486,-,Uno Büyük Tost Ekmeği 550 g,"69,90 TL",https://www.carrefoursa.com/uno-buyuk-tost-ekmegi-550-g-p-30298076
487,-,Uno Premium Çavdarlı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cavdarli-ekmek-400-g-p-30481969
488,-,Uno Süper Tost Çavdarlı 500 gr,"90,00 TL",https://www.carrefoursa.com/uno-super-tost-cavdarli-500-gr-p-30502137
489,-,Eti Lifalif İnce Öğütülmüş Yulaf Ezmesi 350g,"69,95 TL",https://www.carrefoursa.com/eti-lifalif-ince-ogutulmus-yulaf-ezmesi-350g-p-30276083
490,-,Marmarabirlik Hiper Siyah Zeytin 500 Gr,"194,00 TL",https://www.carrefoursa.com/marmarabirlik-hiper-siyah-zeytin-500-gr-p-30021980
491,-,Söke Un 2 Kg,"91,90 TL",https://www.carrefoursa.com/soke-un-2-kg-p-30143704
492,-,Banvit Tabaklı Piliç Izgara Kanat Kg,"271,05 TL",https://www.carrefoursa.com/banvit-tabakli-pilic-izgara-kanat-kg-p-30098651
493,-,İçimino Çikolatalı Süt 180 Ml,"16,95 TL",https://www.carrefoursa.com/icimino-cikolatali-sut-180-ml-p-30083775
494,-,Balküpü Küp Şeker 1000 Gr,"54,95 TL",https://www.carrefoursa.com/balkupu-kup-seker-1000-gr-p-30100002
495,-,Banvit Tabaklı Ciğer Kg,"82,00 TL",https://www.carrefoursa.com/banvit-tabakli-ciger-kg-p-30089745
496,-,Ayva Kg,"199,95 TL",https://www.carrefoursa.com/ayva-kg-p-30037594
497,-,İçim Süzme Beyaz Peynir 500 Gr,"139,95 TL",https://www.carrefoursa.com/icim-suzme-beyaz-peynir-500-gr-p-30053405
498,-,Baby Turco 90'Lı Islak Havlu,"32,95 TL",https://www.carrefoursa.com/baby-turco-90-li-islak-havlu-p-30391921
499,-,Eti Puf Renkli 18 Gr,"6,15 TL",https://www.carrefoursa.com/eti-puf-renkli-18-gr-p-30085448
500,-,Ülker Çubuk Kraker 80 G,"11,75 TL",https://www.carrefoursa.com/ulker-cubuk-kraker-80-g-p-30311747
